.	emdb
2999	virus-e
3001	amyloid
3003	virus-e
3004	virus-e
3005	membrane2
3006	membrane2
3007	membrane2
3008	membrane2
3009	membrane2
3010	membrane2
3011	membrane2
3012	membrane2
3013	virus-e
3014	virus-e
3015	virus-e
3016	protein
3017	protein
3018	protein
3019	ribosome-c
3020	virus-e
3021	needle
3022	needle
3023	needle
3024	needle
3025	misc
3026	membrane2
3027	membrane2
3028	amyloid
3031	dna
3032	dna
3033	misc
3034	protein
3035	membrane
3036	virus-o
3037	80s
3038	80s
3039	80s
3040	80s
3045	80s
3046	80s
3047	ribosome-c
3048	ribosome-c
3049	ribosome-c
3050	ribosome-c
3051	misc
3052	misc
3053	misc
3054	membrane
3055	membrane
3056	ribosome-c
3057	ribosome-c
3058	ribosome-c
3059	virus-c
3061	membrane
3062	membrane
3063	membrane
3064	membrane
3065	rna
3066	rna
3067	virus-c
3068	80s
3069	80s
3070	80s
3071	80s
3072	80s
3073	virus-e
